id,DataName,PlcAddress
125,SwitchSetBINtoM3ExitBIN9,H107.07
126,SwitchSetBINtoM4ExitBIN1,H107.08
127,SwitchSetBINtoM4ExitBIN2,H107.09
128,SwitchSetBINtoM4ExitBIN3,H107.10
129,SwitchSetBINtoM4ExitBIN4,H107.11
130,SwitchSetBINtoM4ExitBIN5,H107.12
131,SwitchSetBINtoM4ExitBIN6,H107.13
132,SwitchSetBINtoM4ExitBIN7,H107.14
133,SwitchSetBINtoM4ExitBIN8,H107.15
134,SwitchSetBINtoM4ExitBIN9,H108.00
135,SwitchSetBINtoM5ExitBIN1,H108.01
136,SwitchSetBINtoM5ExitBIN2,H108.02
137,SwitchSetBINtoM5ExitBIN3,H108.03
138,SwitchSetBINtoM5ExitBIN4,H108.04
139,SwitchSetBINtoM5ExitBIN5,H108.05
140,SwitchSetBINtoM5ExitBIN6,H108.06
141,SwitchSetBINtoM5ExitBIN7,H108.07
142,SwitchSetBINtoM5ExitBIN8,H108.08
143,SwitchSetBINtoM5ExitBIN9,H108.09
144,CylLoaderStackPushTube,W1.00
145,CylLoaderPushTubeYUp,W1.01
146,CylLoaderStackTubeClamp,W1.02
147,CylLoaderEntryTubeClamp,W1.03
148,CylLoaderTubeStop,W1.04
149,CylLoaderTubeRotator,W1.05
150,CylLoaderEntryTrackStop,W1.06
151,CylLoaderVerticalTubeTapper,W1.07
152,CylLoaderStock1Stop,W1.08
153,CylLoaderStock2Stop,W1.09
154,CylLoaderStock3Stop,W1.10
155,CylLoaderStock4Stop,W1.11
156,CylTrack1Tapper,W1.12
157,CylTrack2Tapper,W1.13
158,CylSingulator1AirBlow,W1.14
159,CylSingulator2AirBlow,W1.15
160,CylSingulator3AirBlow,W2.00
161,CylSingulator4AirBlow,W2.01
162,CylSingulator1,W2.02
163,CylSingulator2,W2.03
164,CylSingulator3,W2.04
165,CylSingulator4,W2.05
166,CylPreSite1BodyStop,W2.06
167,CylPreSite2BodyStop,W2.07
168,CylPreSite3BodyStop,W2.08
169,CylPreSite4BodyStop,W2.09
170,CylPlunger1,W2.10
171,CylPlunger2,W2.11
172,CylPlunger3,W2.12
173,CylPlunger4,W2.13
174,CylSite1LeadBack,W2.14
175,CylSite2LeadBack,W2.15
176,CylSite3LeadBack,W3.00
177,CylSite4LeadBack,W3.01
178,CylCurveTrack1Stop,W3.02
179,CylCurveTrack2Stop,W3.03
180,CylCurveTrack1AiBlow,W3.04
181,CylCurveTrack2AiBlow,W3.05
182,CylSortStopAL,W3.06
183,CylSortStopAR,W3.07
184,CylSortStopM1L,W3.08
185,CylSortStopM2L,W3.09
186,CylSortStopM3LM1R,W3.10
187,CylSortStopM4LM2R,W3.11
188,CylSortStopM3R,W3.12
189,CylSortStopM4R,W3.13
190,CylUnLoaderBufExitStop,W3.14
191,CylUnLoaderBufExitTubeClamp,W3.15
192,CylUnLoaderStackTapper,W4.00
193,CylUnLoaderStackTubeClamp,W4.01
194,CylUnLoaderPushTubeYUp,W4.02
195,SensorLoaderMotorLimitLeft,W10.00
196,SensorLoaderMotorLimitRight,W10.01
197,SensorLoaderStackBaseTube,W10.02
198,SensorLoaderEntryTube,W10.03
199,SensorLoaderRotatorFlat,W10.04
200,SensorLoaderRotatorVertical,W10.05
201,SensorLoaderRotatorTubeExit,W10.06
202,SensorLoaderEntryTrackUnit,W10.07
203,SensorLoaderEntryTrackExitJam,W10.08
204,SensorLoaderCheckStockEmpty,W10.09
205,SensorLoaderStock1ExitJam,W10.10
206,SensorLoaderStock2ExitJam,W10.11
207,SensorLoaderStock3ExitJam,W10.12
208,SensorLoaderStock4ExitJam,W10.13
209,SensorLoaderTrack1AskUnitFeeding,W10.14
210,SensorLoaderTrack2AskUnitFeeding,W10.15
211,SensorLoaderStock1FeedPlace,W11.00
212,SensorLoaderStock2FeedPlace,W11.01
213,SensorLoaderStock3FeedPlace,W11.02
214,SensorLoaderStock4FeedPlace,W11.03
215,SensorLoaderCheckStock1EmptyPlace,W11.04
216,SensorLoaderCheckStock2EmptyPlace,W11.05
217,SensorLoaderCheckStock3EmptyPlace,W11.06
218,SensorLoaderCheckStock4EmptyPlace,W11.07
219,SensorLoaderStock1FeedTrack1Place,W11.08
220,SensorLoaderStock1FeedTrack2Place,W11.09
221,SensorLoaderStock2FeedTrack1Place,W11.10
222,SensorLoaderStock2FeedTrack2Place,W11.11
223,SensorLoaderStock3FeedTrack1Place,W11.12
224,SensorLoaderStock3FeedTrack2Place,W11.13
225,SensorLoaderStock4FeedTrack1Place,W11.14
226,SensorLoaderStock4FeedTrack2Place,W11.15
227,SensorSingulator1Unit,W12.00
228,SensorSingulator2Unit,W12.01
229,SensorPlunger1Entry,W12.02
230,SensorPlunger2Entry,W12.03
231,SensorPlunger3Entry,W12.04
232,SensorPlunger4Entry,W12.05
233,SensorPlunger1Exit,W12.06
234,SensorPlunger2Exit,W12.07
235,SensorPlunger1PushOutPlace,W12.08
236,SensorPlunger2PushOutPlace,W12.09
237,SensorPlunger3PushOutPlace,W12.10
238,SensorPlunger4PushOutPlace,W12.11
239,SensorPlunger1TrackPlace,W12.12
240,SensorPlunger2TrackPlace,W12.13
241,SensorPlunger3TrackPlace,W12.14
242,SensorPlunger4TrackPlace,W12.15
243,SensorCurveTrack1Unit,W13.00
244,SensorCurveTrack2Unit,W13.01
245,SensorCheckSortEmpty,W13.02
246,SensorCheckSort1DD,W13.03
247,SensorCheckSort2DD,W13.04
248,SensorSortExitUnitA1,W13.05
249,SensorSortExitUnitM,W13.06
250,SensorSortLimitLeft,W13.07
251,SensorSortLimitRight,W13.08
252,MotorSortCheckSort1EmptyPlace,H2.00
253,MotorSortCheckSort2EmptyPlace,H2.01
254,MotorSortALPlace,H2.02
255,MotorSortARPlace,H2.03
256,MotorSortM1LPlace,H2.04
257,MotorSortM2LPlace,H2.05
258,MotorSortM3LPlace,H2.06
259,MotorSortM4LPlace,H2.07
260,MotorSortM1RPlace,H2.08
261,MotorSortM2RPlace,H2.09
262,MotorSortM3RPlace,H2.10
263,MotorSortM4RPlace,H2.11
264,SensorUnLoaderBufFull,W13.09
265,SensorUnLoaderBufExitJam,W13.10
266,SensorUnLoaderBufExitTube,W13.11
267,SensorUnLoaderStackBaseTube,W13.12
268,SensorUnLoaderMotorStackPlace,W13.13
269,SensorUnLoaderMEntryJam,W13.14
270,SensorUnLoaderM1Tube,W13.15
271,SensorUnLoaderM2Tube,W14.00
272,SensorUnLoaderM3Tube,W14.01
273,SensorUnLoaderM4Tube,W14.02
274,MotorUnLoaderStackTubePlace,H3.00
275,MotorUnLoaderLoadingPlace,H3.01
276,MotorLoaderHOMEStock1CheckEmpty,W15.00
277,MotorLoaderHOMEStock2CheckEmpty,W15.01
278,MotorLoaderHOMEStock3CheckEmpty,W15.02
279,MotorLoaderHOMEStock4CheckEmpty,W15.03
280,MotorLoaderHOMEStock1FeedUnit,W15.04
281,MotorLoaderHOMEStock2FeedUnit,W15.05
282,MotorLoaderHOMEStock3FeedUnit,W15.06
283,MotorLoaderHOMEStock4FeedUnit,W15.07
284,MotorLoaderHOMEStock1Track1,W15.08
285,MotorLoaderHOMEStock1Track2,W15.09
286,MotorLoaderHOMEStock2Track1,W15.10
287,MotorLoaderHOMEStock2Track2,W15.11
288,MotorLoaderHOMEStock3Track1,W15.12
289,MotorLoaderHOMEStock3Track2,W15.13
290,MotorLoaderHOMEStock4Track1,W15.14
291,MotorLoaderHOMEStock4Track2,W15.15
292,MotorLoaderGoToStock1CheckEmpty,W16.00
293,MotorLoaderGoToStock2CheckEmpty,W16.01
294,MotorLoaderGoToStock3CheckEmpty,W16.02
295,MotorLoaderGoToStock4CheckEmpty,W16.03
296,MotorLoaderGoToStock1FeedUnit,W16.04
297,MotorLoaderGoToStock2FeedUnit,W16.05
298,MotorLoaderGoToStock3FeedUnit,W16.06
299,MotorLoaderGoToStock4FeedUnit,W16.07
300,MotorLoaderGoToStock1Track1,W16.08
301,MotorLoaderGoToStock1Track2,W16.09
302,MotorLoaderGoToStock2Track1,W16.10
303,MotorLoaderGoToStock2Track2,W16.11
304,MotorLoaderGoToStock3Track1,W16.12
305,MotorLoaderGoToStock3Track2,W16.13
306,MotorLoaderGoToStock4Track1,W16.14
307,MotorLoaderGoToStock4Track2,W16.15
308,MotorSortHomeSort1CheckEmpty,W17.00
309,MotorSortHomeSort2CheckEmpty,W17.01
310,MotorSortHomeSortAL,W17.02
311,MotorSortHomeSortAR,W17.03
312,MotorSortHomeSortM1L,W17.04
313,MotorSortHomeSortM2L,W17.05
314,MotorSortHomeSortM3L,W17.06
315,MotorSortHomeSortM4L,W17.07
316,MotorSortHomeSortM1R,W17.08
317,MotorSortHomeSortM2R,W17.09
318,MotorSortHomeSortM3R,W17.10
319,MotorSortHomeSortM4R,W17.11
320,MotorSortGoToSort1CheckEmpty,W17.12
321,MotorSortGoToSort2CheckEmpty,W17.13
322,MotorSortGoToAL,W17.14
323,MotorSortGoToAR,W17.15
324,MotorSortGoToM1L,W18.00
325,MotorSortGoToM2L,W18.01
326,MotorSortGoToM3L,W18.02
327,MotorSortGoToM4L,W18.03
328,MotorSortGoToM1R,W18.04
329,MotorSortGoToM2R,W18.05
330,MotorSortGoToM3R,W18.06
331,MotorSortGoToM4R,W18.07
332,MotorUnLoaderHOMEStack,W18.08
333,MotorUnLoaderSwitchAddReduce,H5.00
334,MotorUnLoaderAlignStackTube,H5.01
335,MotorUnLoaderGoToStackTube,W19.00
336,MotorUnLoaderGotoLoading,W19.01
337,MotorUnLoaderStepAdd,H5.02
338,MotorUnLoaderStepReduce,H5.03
339,ReSetContacting1Data,W19.02
340,ReSetContacting2Data,W19.03
341,ReSetContacting3Data,W19.04
342,ReSetContacting4Data,W19.05
343,DropTubeAExit,W19.06
344,ReSetLOTData,W19.07
345,ReSetSite1LOTData,W19.08
346,ReSetSite2LOTData,W19.09
347,ReSetSite3LOTData,W19.10
348,ReSetSite4LOTData,W19.11
349,IssueTTLSite1SOT,H11.00
350,IssueTTLSite2SOT,H11.01
351,IssueTTLSite3SOT,H11.02
352,IssueTTLSite4SOT,H11.03
353,InSite1EOT,H11.04
354,InSite2EOT,H11.05
355,InSite3EOT,H11.06
356,InSite4EOT,H11.07
357,InSite1BIN1,H11.08
358,InSite1BIN2,H11.09
359,InSite1BIN3,H11.10
360,InSite1BIN4,H11.11
361,InSite1BIN5,H11.12
362,InSite1BIN6,H11.13
363,InSite1BIN7,H11.14
364,InSite1BIN8,H11.15
365,InSite1BIN9,H12.00
366,InSite2BIN1,H12.01
367,InSite2BIN2,H12.02
368,InSite2BIN3,H12.03
369,InSite2BIN4,H12.04
370,InSite2BIN5,H12.05
371,InSite2BIN6,H12.06
372,InSite2BIN7,H12.07
373,InSite2BIN8,H12.08
374,InSite2BIN9,H12.09
375,InSite3BIN1,H12.10
376,InSite3BIN2,H12.11
377,InSite3BIN3,H12.12
378,InSite3BIN4,H12.13
379,InSite3BIN5,H12.14
380,InSite3BIN6,H12.15
381,InSite3BIN7,H13.00
382,InSite3BIN8,H13.01
383,InSite3BIN9,H13.02
384,InSite4BIN1,H13.03
385,InSite4BIN2,H13.04
386,InSite4BIN3,H13.05
387,InSite4BIN4,H13.06
388,InSite4BIN5,H13.07
389,InSite4BIN6,H13.08
390,InSite4BIN7,H13.09
391,InSite4BIN8,H13.10
392,InSite4BIN9,H13.11
393,LoaderHomeError,W80.00
394,NoEndingLoaderMotor,W80.01
395,LoaderMotorSetError,W80.02
396,LoaderStackJamTubeDown,W80.03
397,LoaderJamTubeYUp,W80.04
398,LoaderNoTubeYUpLeft,W80.05
399,LoaderNoTubeYUpRight,W80.06
400,LoaderLostVerticalTubeLeft,W80.07
401,LoaderLostVerticalTubeRight,W80.08
402,LoaderEntryTrackJamLeft,W80.09
403,LoaderEntryTrackJamRight,W80.10
404,LoaderRotateWrongLeft,W80.11
405,LoaderRotateWrongRight,W80.12
406,TrackInputJamLeft,W80.13
407,TrackInputJamRight,W80.14
408,LoaderNeedReSet,W80.15
409,JamBeforeSingulatorLeft,W81.00
410,JamBeforeSingulatorRight,W81.01
411,SingulatorJamL,W81.02
412,SingulatorJamR,W81.03
413,JamSingulatorCS1,W81.04
414,JamSingulatorCS2,W81.05
415,JamSingulatorCS3,W81.06
416,JamSingulatorCS4,W81.07
417,JamCS3CS1,W81.08
418,JamCS4CS2,W81.09
419,LostCS1DropUnit,W81.10
420,LostCS2DropUnit,W81.11
421,LostCS3DropUnit,W81.12
422,LostCS4DropUnit,W81.13
423,JamCS1EntrySensor,W81.14
424,JamCS2EntrySensor,W81.15
425,JamCS3EntrySensor,W82.00
426,JamCS4EntrySensor,W82.01
427,JamCS1ExitSensor,W82.02
428,JamCS2ExitSensor,W82.03
429,JamPTB1,W82.04
430,JamPTB2,W82.05
431,JamPTB3,W82.06
432,JamPTB4,W82.07
433,JamCS1Turn,W82.08
434,JamCS2Turn,W82.09
435,JamCS3Turn,W82.10
436,JamCS4Turn,W82.11
437,TurnLeftUnknownUnit,W82.12
438,TurnRightUnknownUnit,W82.13
439,JamTurnLowBufLeft,W82.14
440,JamTurnLowBufRight,W82.15
441,BufLeftUnknownUnit,W83.00
442,BufRightUnknownUnit,W83.01
443,JamBufDropUnitLeft,W83.02
444,JamBufDropUnitRight,W83.03
445,JamBufSortLeft,W83.04
446,JamBufSortRight,W83.05
447,DDLeftSort,W83.06
448,DDRightSort,W83.07
449,JamInSortLeft,W83.08
450,JamInSortRight,W83.09
451,JamSortDropUnitLeft,W83.10
452,JamSortDropUnitRight,W83.11
453,JamTurnEntryLeft,W83.12
454,JamTurnEntryRight,W83.13
455,NoExitForBINCS1,W83.14
456,NoExitForBINCS2,W83.15
457,NoExitForBINCS3,W84.00
458,NoExitForBINCS4,W84.01
459,SOTStuckCS1,W84.02
460,SOTStuckCS2,W84.03
461,SOTStuckCS3,W84.04
462,SOTStuckCS4,W84.05
463,BINNotGoneCS1,W84.06
464,BINNotGoneCS2,W84.07
465,BINNotGoneCS3,W84.08
466,BINNotGoneCS4,W84.09
467,NoBINForCS1,W84.10
468,NoBINForCS2,W84.11
469,NoBINForCS3,W84.12
470,NoBINForCS4,W84.13
471,MultiBINCS1,W84.14
472,MultiBINCS2,W84.15
473,MultiBINCS3,W85.00
474,MultiBINCS4,W85.01
475,NoEOTForCS1,W85.02
476,NoEOTForCS2,W85.03
477,NoEOTForCS3,W85.04
478,NoEOTForCS4,W85.05
479,TestFailsCS1,W85.06
480,TestFailsCS2,W85.07
481,TestFailsCS3,W85.08
482,TestFailsCS4,W85.09
483,GPIBNotReady,W85.10
484,GPIBNoEnd,W85.11
485,UnLoaderMotorErr,W85.12
486,UnLoaderMotorNotStop,W85.13
487,UnLoaderMotorSetErr,W85.14
488,UnLoaderStackTubeStuck,W85.15
489,UnLoaderStackTubeJamDown,W86.00
490,AExitJam,W86.01
491,MExitJam,W86.02
492,NoExitRunExercise,W86.03
493,SettingErr,W86.04
494,JamSortEdge,W86.05
495,LoaderEmpty,W86.06
496,UnLoaderEmpty,W86.07
497,WaitM1,W86.08
498,WaitM2,W86.09
499,WaitM3,W86.10
500,WaitM4,W86.11
501,ABufFull,W86.12
502,PlungerLowSpeed,W86.13
